Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
31550;1.461784;15.0887;1.6000;-0.2494;354.7708;28.7264;1.7840;True;True;-0.6592;1.0059;-0.8531;22.4911;202.7349;356.2737;3.3774;0.4404;0.0046;0.0000;True;True;0.0727;1.3110;-0.8205;348.3645;118.3088;32.8359;1.9034;-0.4475;0.9483;0.0000;
31552;1.489684;15.0809;1.6024;-0.2342;354.0304;29.9157;2.7084;True;True;-0.6318;1.0014;-0.8587;22.5408;200.3335;353.6733;2.2241;-1.0501;-0.9061;0.0000;True;True;0.0917;1.3059;-0.8082;350.6458;115.1753;32.2077;1.9113;-0.5444;1.3278;0.0000;
31554;1.517465;15.0730;1.5987;-0.2198;352.5239;30.4445;3.4799;True;True;-0.6060;0.9936;-0.8668;22.9398;197.1103;351.5218;2.9390;-0.4357;-0.6294;0.0000;True;True;0.1106;1.2972;-0.7930;353.9475;111.8265;33.6154;1.9040;-0.9698;1.6136;0.0000;
31556;1.544865;15.0656;1.5884;-0.2065;349.9184;30.9617;2.8619;True;True;-0.5703;0.9939;-0.8715;21.4215;192.6912;349.5569;3.6817;-0.0215;-0.5197;0.0000;True;True;0.1296;1.2870;-0.7749;356.2128;110.4549;35.2307;1.9009;-1.0335;1.8679;0.0000;
31558;1.572985;15.0582;1.5741;-0.1950;349.4971;31.1597;3.6977;True;True;-0.5317;0.9921;-0.8792;18.0483;186.0409;351.3278;3.8369;-0.2698;-0.7592;0.0000;True;True;0.1492;1.2773;-0.7546;356.0204;109.9423;36.5267;1.9318;-1.0027;2.0539;0.0000;
31560;1.600437;15.0506;1.5573;-0.1821;349.9015;30.8940;4.6263;True;True;-0.4962;0.9866;-0.8859;12.3327;181.2080;356.8964;3.4197;-0.6254;-0.6406;0.0000;True;True;0.1708;1.2663;-0.7317;352.8029;107.1120;36.4671;2.3230;-1.0138;2.4148;0.0000;
31562;1.628278;15.0443;1.5393;-0.1659;350.6316;31.0825;4.3102;True;True;-0.4644;0.9753;-0.8949;5.6199;177.8879;359.2175;3.0804;-1.2667;-1.0421;0.0000;True;True;0.1986;1.2589;-0.7044;347.3771;97.7476;34.3809;2.8669;-0.6263;2.8265;0.0000;
31564;1.656944;15.0393;1.5259;-0.1504;351.6324;30.2390;6.0430;True;True;-0.4342;0.9591;-0.9116;5.3270;175.8854;355.2354;3.0393;-1.7162;-1.8388;0.0000;True;True;0.2342;1.2559;-0.6759;343.4873;86.0407;33.8865;3.8759;-0.1462;2.8134;0.0000;
31566;1.68423;15.0360;1.5102;-0.1313;350.8656;29.7276;7.5449;True;True;-0.3999;0.9544;-0.9326;10.7123;175.9546;356.0879;3.6474;0.2134;-2.1356;0.0000;True;True;0.2802;1.2683;-0.6514;342.5203;79.4526;36.5130;4.7870;1.7737;2.2678;0.0000;
31568;1.712205;15.0337;1.4984;-0.1082;350.5767;28.8355;9.3872;True;True;-0.3545;0.9759;-0.9452;0.9107;180.7183;7.6400;4.6798;2.6330;-0.8991;0.0000;True;True;0.3355;1.3002;-0.6348;341.5447;80.1311;37.9928;5.7426;3.7155;1.6271;0.0000;
31570;1.739886;15.0307;1.4919;-0.0808;351.0221;28.6046;9.2361;True;True;-0.3100;1.0094;-0.9505;353.8235;173.6777;6.3488;4.3796;3.7461;-0.4530;0.0000;True;True;0.3945;1.3466;-0.6208;337.5267;77.8343;39.6642;6.0414;5.1432;1.1601;0.0000;
31572;1.767539;15.0298;1.4921;-0.0466;349.4469;29.0552;10.0885;True;True;-0.2656;1.0498;-0.9505;348.5372;170.0245;4.5097;4.5041;4.0915;0.0839;0.0000;True;True;0.4575;1.4071;-0.6145;332.7163;70.4902;38.8073;6.4722;6.2368;0.4959;0.0000;
31574;1.795601;15.0286;1.4953;-0.0066;347.1430;30.5036;9.7904;True;True;-0.2212;1.0897;-0.9444;343.3907;168.2886;5.4085;4.3058;3.7329;0.6913;0.0000;True;True;0.5242;1.4690;-0.6120;331.1913;67.8210;36.4139;6.6807;6.0687;0.2470;0.0000;
31576;1.823806;15.0264;1.5007;0.0371;347.2432;31.7829;9.2507;True;True;-0.1797;1.1219;-0.9320;341.0406;167.1316;8.8263;4.0606;2.9804;1.3913;0.0000;True;True;0.5884;1.5239;-0.6125;330.4737;65.0214;37.1941;6.2670;5.2953;-0.2276;0.0000;
31578;1.851373;15.0245;1.5107;0.0857;347.4346;33.2844;7.8842;True;True;-0.1428;1.1463;-0.9178;339.7624;167.0036;11.6525;3.6084;2.2560;1.4963;0.0000;True;True;0.6481;1.5688;-0.6210;327.2559;53.0250;41.2669;5.9180;4.2091;-1.1128;0.0000;
31580;1.879285;15.0244;1.5229;0.1378;345.6458;34.3462;7.5030;True;True;-0.1114;1.1637;-0.9006;337.6605;171.2939;13.4749;2.9634;1.4522;1.8662;0.0000;True;True;0.7103;1.6031;-0.6410;327.1812;42.5607;43.2056;6.4709;3.1575;-2.2188;0.0000;
